date, h, s, w, c, notes
2020-01-22, 1.1, 1.2, 1.2, 1.0, 1.1|1.2|1.2|1.0
2020-02-11, 1.1, 1.2, 1.1, 1.0, 1.1|1.2|1.1|1.0
2020-03-05, 1.1, 0.3, 1.0, 1.0, 1.1|0.3|1.0|1.0
2020-03-12, 1.1, 0.3, 0.9, 0.9, 1.1|0.3|0.9|0.9
2020-03-14, 1.1, 0.3, 0.8, 0.8, 1.1|0.3|0.8|0.8
2020-03-16, 1.1, 0.3, 0.6, 0.6, 1.1|0.3|0.7|0.7 **
2020-03-21, 1.1, 0.3, 0.4, 0.4, 1.1|0.3|0.6|0.6 **
2020-04-01, 1.1, 0.3, 0.3, 0.3, added
2020-06-01, 1.2, 0.2, 0.6, 0.6, 1.1|0.2|0.6|0.6
2020-06-15, 1.2, 0.2, 0.7, 0.7, added
2020-07-20, 1.1, 0.2, 0.8, 0.8, 1.1|0.2|0.7|0.7 **
2020-08-16, 1.3, 0.3, 0.7, 0.7, 1.1|0.3|0.7|0.7
2020-10-01, 1.5, 0.3, 0.9, 1.0, 1.2|0.3|0.7|0.7 **
2020-11-01, 1.5, 0.3, 1.0, 1.0, added
2020-11-16, 1.5, 0.4, 1.0, 1.0, 1.2|0.3|0.6|0.6 **
2020-12-01, 1.4, 0.4, 1.0, 1.0, 1.3|0.3|0.6|0.6 **
2020-12-20, 1.4, 0.2, 0.9, 0.9, 1.3|0.2|0.6|0.6 **
2021-01-03, 1.3, 0.3, 0.7, 0.8, 1.3|0.3|0.6|0.6 **
2021-02-01, 1.3, 0.3, 0.5, 0.5, 1.2|0.3|0.6|0.6 **
2021-02-03, 1.2, 0.4, 0.4, 0.4, 1.2|0.5|0.6|0.6 **
2021-02-15, 1.1, 0.4, 0.5, 0.5, added
2021-03-02, 1.1, 0.5, 0.4, 0.4, 1.1|0.5|0.6|0.6 **
2021-03-04, 1.1, 0.5, 0.5, 0.5, 1.1|0.5|0.7|0.7 **
2021-03-16, 1.2, 0.5, 0.7, 0.7, added
2021-04-05, 1.1, 0.5, 0.4, 0.4, added
2021-04-15, 1.1, 0.4, 0.4, 0.4, added
2021-05-07, 1.1, 0.4, 0.4, 0.4, 1.1|0.8|0.7|0.7 **
2021-06-01, 1.2, 0.2, 0.5, 0.5, 1.1|0.2|0.7|0.7 **
2021-06-15, 1.3, 0.2, 0.6, 0.6, added
2021-07-01, 1.4, 0.2, 0.8, 0.8, added
2021-08-16, 1.3, 0.4, 0.6, 0.6, 1.1|0.8|0.7|0.7 **
2021-09-01, 1.2, 0.5, 0.4, 0.5, added **
2021-10-01, 1.2, 0.5, 0.4, 0.4, 1.2|0.8|0.7|0.7 **
2021-11-01, 1.2, 0.5, 0.5, 0.5, added
2021-11-15, 1.2, 0.5, 0.4, 0.5, added
2021-12-01, 1.2, 0.5, 0.5, 0.5, 1.3|0.8|0.7|0.7 **
2021-12-20, 1.2, 0.2, 0.5, 0.5, 1.3|0.2|0.7|0.7 **
2022-01-03, 1.2, 0.5, 0.5, 0.5, 1.3|0.8|0.7|0.7 **
2022-01-04, 1.1, 0.2, 0.3, 0.2, added
2022-01-20, 1.0, 0.2, 0.1, 0.1, added
2022-02-01, 1.0, 0.1, 0.1, 0.1, 1.2|0.8|0.7|0.7 **
2022-02-28, 1.0, 0.1, 0.1, 0.1, 1.2|0.8|0.8|0.8 **
2022-04-01, 1.0, 0.2, 0.2, 0.3, extended
2022-04-15, 1.0, 0.2, 0.2, 0.3, extended
2022-05-01, 0.9, 0.2, 0.2, 0.3, extended
2022-06-01, 0.9, 0.1, 0.2, 0.3, extended
2022-07-01, 0.9, 0.1, 0.1, 0.3, extended
2022-08-01, 0.8, 0.1, 0.1, 0.2, extended
2022-09-01, 0.8, 0.1, 0.2, 0.2, extended
2022-10-01, 0.8, 0.1, 0.2, 0.2, extended
2022-11-01, 0.9, 0.1, 0.2, 0.2, extended
2022-12-01, 0.9, 0.1, 0.2, 0.2, extended